Nama,NIK,Email,Password,Role
Sab,987654321123456,sab@gmail.com,sab098,User
Diana,2345678098765456,diana@gmail.com,di567,User
Excell,1096750469256736,beatck@gmail.com,123,User
Caka,6809245801257906,caka@gmail.com,123,User
ka,4567893456234567,fak@gmail.com,sisi,User
Cecel,2820091985036803,ecel@gmail.com,140,User
E,4509249017098705,e@gmail.com,1945,User
Bryan,1906703804692708,bry@gmail.com,098,User
Danu,3456098734213567,danu@gmail.com,danu123,User
v,1098905670452467,v@gmail.com,v111,User
Sabrina,1098760956458904,sabrina@gmail.com,sab123,User
Vega,1097896540984367,vega@gmail.com,veve123,User
Thania,1098045789034658,thania@gmail.com,2024,User
w,5555555555555555,wahyu@gmail.com,w123,User
joji,2567121212121212,joji@gmail.com,jo123,User
